danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.901,0.737,1,-4.793,0,0.0862,0.125,0.0,0.365,0.736,129.985,audio_features,2WiMfBYWfxYBjXb7Q3sdlM,spotify:track:2WiMfBYWfxYBjXb7Q3sdlM,https://api.spotify.com/v1/tracks/2WiMfBYWfxYBjXb7Q3sdlM,https://api.spotify.com/v1/audio-analysis/2WiMfBYWfxYBjXb7Q3sdlM,153289,4
0.717,0.702,5,-4.832,0,0.0404,0.181,1.71e-06,0.244,0.716,105.979,audio_features,3rBqalGZvAuUDt0ADZV9V3,spotify:track:3rBqalGZvAuUDt0ADZV9V3,https://api.spotify.com/v1/tracks/3rBqalGZvAuUDt0ADZV9V3,https://api.spotify.com/v1/audio-analysis/3rBqalGZvAuUDt0ADZV9V3,185213,4
0.502,0.469,0,-4.939,1,0.0264,0.643,0.0,0.271,0.458,83.123,audio_features,1KTemUlHzS0SvVtTjY1NTw,spotify:track:1KTemUlHzS0SvVtTjY1NTw,https://api.spotify.com/v1/tracks/1KTemUlHzS0SvVtTjY1NTw,https://api.spotify.com/v1/audio-analysis/1KTemUlHzS0SvVtTjY1NTw,238939,3
0.67,0.811,1,-5.797,0,0.133,0.0144,0.0,0.594,0.589,125.953,audio_features,601pOTGkiTqGFpAtphsZDx,spotify:track:601pOTGkiTqGFpAtphsZDx,https://api.spotify.com/v1/tracks/601pOTGkiTqGFpAtphsZDx,https://api.spotify.com/v1/audio-analysis/601pOTGkiTqGFpAtphsZDx,158095,4
0.749,0.708,7,-4.988,1,0.0367,0.0395,0.0,0.338,0.915,141.947,audio_features,0Q1PL9xAcw9clycu7f8YGw,spotify:track:0Q1PL9xAcw9clycu7f8YGw,https://api.spotify.com/v1/tracks/0Q1PL9xAcw9clycu7f8YGw,https://api.spotify.com/v1/audio-analysis/0Q1PL9xAcw9clycu7f8YGw,191333,4
0.502,0.667,8,-6.161,1,0.35,0.146,0.0,0.177,0.693,170.58,audio_features,30vg2QguPyaa7PcAJTn9YE,spotify:track:30vg2QguPyaa7PcAJTn9YE,https://api.spotify.com/v1/tracks/30vg2QguPyaa7PcAJTn9YE,https://api.spotify.com/v1/audio-analysis/30vg2QguPyaa7PcAJTn9YE,122091,3
0.697,0.732,11,-6.534,0,0.0646,0.0139,0.000631,0.0807,0.651,124.932,audio_features,4NUmZ5svM1Bbmaz5udqUeJ,spotify:track:4NUmZ5svM1Bbmaz5udqUeJ,https://api.spotify.com/v1/tracks/4NUmZ5svM1Bbmaz5udqUeJ,https://api.spotify.com/v1/audio-analysis/4NUmZ5svM1Bbmaz5udqUeJ,170253,4
0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,audio_features,5aIVCx5tnk0ntmdiinnYvw,spotify:track:5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,200256,4
0.728,0.795,8,-5.399,1,0.0568,0.00121,0.275,0.341,0.821,128.047,audio_features,2eYw2v771lwzFUQ9sSBGpK,spotify:track:2eYw2v771lwzFUQ9sSBGpK,https://api.spotify.com/v1/tracks/2eYw2v771lwzFUQ9sSBGpK,https://api.spotify.com/v1/audio-analysis/2eYw2v771lwzFUQ9sSBGpK,154083,4
